customer_id,order_count,first_order_date,customer_type
CUST_1002,1,2024-07-19,New
CUST_1003,1,2024-09-08,New
CUST_1007,1,2024-02-23,New
CUST_1010,1,2024-05-31,New
CUST_1012,1,2024-05-04,New
CUST_1016,1,2024-03-04,New
CUST_1019,1,2024-05-27,New
CUST_1022,1,2024-06-17,New
CUST_1023,4,2023-12-07,Returning
CUST_1025,1,2024-03-03,New
CUST_1031,1,2024-04-16,New
CUST_1032,2,2023-10-29,Returning
CUST_1033,1,2024-04-12,New
CUST_1043,1,2023-11-23,New
CUST_1045,1,2024-04-17,New
CUST_1049,1,2024-04-02,New
CUST_1050,1,2024-03-01,New
CUST_1053,1,2024-06-29,New
CUST_1058,2,2023-10-25,Returning
CUST_1063,3,2023-12-25,Returning
CUST_1064,2,2023-11-26,Returning
CUST_1065,1,2024-04-29,New
CUST_1068,2,2024-03-03,Returning
CUST_1069,1,2024-01-16,New
CUST_1073,1,2024-02-10,New
CUST_1079,1,2024-07-11,New
CUST_1081,1,2024-05-20,New
CUST_1082,2,2023-11-28,Returning
CUST_1089,2,2024-05-15,Returning
CUST_1090,1,2024-07-12,New
CUST_1091,1,2024-03-07,New
CUST_1093,1,2023-11-02,New
CUST_1096,1,2024-06-23,New
CUST_1099,1,2024-08-14,New
CUST_1100,1,2024-02-29,New
CUST_1101,1,2023-11-02,New
CUST_1102,1,2024-07-09,New
CUST_1113,1,2024-07-09,New
CUST_1115,2,2023-10-21,Returning
CUST_1117,3,2023-10-24,Returning
CUST_1119,1,2024-03-24,New
CUST_1120,1,2024-01-28,New
CUST_1122,1,2023-12-05,New
CUST_1123,2,2024-02-06,Returning
CUST_1124,1,2024-09-24,New
CUST_1129,1,2024-02-03,New
CUST_1131,1,2024-09-04,New
CUST_1132,1,2023-12-30,New
CUST_1134,1,2023-11-06,New
CUST_1135,1,2023-12-12,New
CUST_1136,2,2023-11-24,Returning
CUST_1137,1,2024-03-17,New
CUST_1144,1,2024-07-06,New
CUST_1148,1,2024-05-22,New
CUST_1150,1,2024-08-11,New
CUST_1151,1,2023-12-03,New
CUST_1153,1,2024-03-14,New
CUST_1154,1,2024-08-21,New
CUST_1155,1,2023-11-19,New
CUST_1159,1,2024-03-14,New
CUST_1162,1,2024-07-13,New
CUST_1167,1,2024-07-08,New
CUST_1174,1,2024-05-18,New
CUST_1175,1,2024-03-06,New
CUST_1178,2,2024-01-07,Returning
CUST_1181,1,2023-12-24,New
CUST_1187,1,2023-11-13,New
CUST_1193,2,2023-12-13,Returning
CUST_1197,1,2023-10-28,New
CUST_1198,1,2024-03-14,New
CUST_1199,1,2024-02-01,New
CUST_1201,2,2024-06-18,Returning
CUST_1202,1,2024-08-10,New
CUST_1203,1,2024-09-10,New
CUST_1205,1,2023-12-20,New
CUST_1210,1,2024-05-02,New
CUST_1213,1,2024-08-28,New
CUST_1215,2,2024-07-03,Returning
CUST_1216,1,2023-10-06,New
CUST_1217,1,2024-04-14,New
CUST_1218,1,2024-03-10,New
CUST_1220,1,2024-01-25,New
CUST_1221,2,2024-06-03,Returning
CUST_1222,3,2024-04-17,Returning
CUST_1223,1,2024-03-24,New
CUST_1225,3,2023-10-12,Returning
CUST_1229,1,2024-07-05,New
CUST_1231,1,2023-12-09,New
CUST_1232,1,2024-02-12,New
CUST_1239,1,2023-10-19,New
CUST_1240,1,2024-01-27,New
CUST_1241,1,2024-01-25,New
CUST_1243,1,2024-08-07,New
CUST_1244,1,2024-01-23,New
CUST_1247,3,2023-10-24,Returning
CUST_1250,3,2023-10-03,Returning
CUST_1252,1,2024-07-16,New
CUST_1253,2,2023-10-27,Returning
CUST_1255,1,2024-05-11,New
CUST_1256,1,2024-06-19,New
CUST_1258,1,2024-03-31,New
CUST_1259,1,2024-02-25,New
CUST_1260,1,2024-04-05,New
CUST_1261,1,2024-08-20,New
CUST_1264,1,2024-08-28,New
CUST_1265,1,2023-10-08,New
CUST_1270,1,2024-02-14,New
CUST_1273,2,2024-04-13,Returning
CUST_1274,1,2023-11-27,New
CUST_1275,1,2024-02-09,New
CUST_1280,1,2024-06-22,New
CUST_1287,1,2024-06-27,New
CUST_1295,1,2024-08-17,New
CUST_1297,1,2023-11-23,New
CUST_1299,1,2023-11-17,New
CUST_1303,2,2024-01-23,Returning
CUST_1304,1,2024-07-01,New
CUST_1305,1,2024-07-20,New
CUST_1308,1,2023-10-22,New
CUST_1309,1,2024-05-04,New
CUST_1312,2,2023-11-02,Returning
CUST_1313,1,2023-12-27,New
CUST_1317,3,2024-07-07,Returning
CUST_1318,3,2023-10-12,Returning
CUST_1319,1,2024-01-18,New
CUST_1320,1,2024-02-15,New
CUST_1321,1,2024-01-13,New
CUST_1323,1,2023-10-16,New
CUST_1325,1,2024-01-30,New
CUST_1327,1,2024-09-10,New
CUST_1328,1,2024-02-03,New
CUST_1330,1,2024-01-27,New
CUST_1331,2,2024-01-17,Returning
CUST_1332,1,2023-11-20,New
CUST_1335,1,2023-12-29,New
CUST_1337,1,2024-07-19,New
CUST_1344,2,2023-12-14,Returning
CUST_1345,1,2024-05-01,New
CUST_1348,1,2024-06-28,New
CUST_1355,1,2024-02-14,New
CUST_1361,1,2024-05-01,New
CUST_1362,1,2023-10-24,New
CUST_1363,1,2024-05-21,New
CUST_1364,2,2023-11-27,Returning
CUST_1365,1,2024-03-14,New
CUST_1367,1,2023-12-11,New
CUST_1368,2,2024-03-31,Returning
CUST_1369,1,2023-10-06,New
CUST_1372,1,2024-07-06,New
CUST_1374,1,2023-10-10,New
CUST_1376,2,2023-10-01,Returning
CUST_1377,1,2024-09-29,New
CUST_1378,2,2024-03-18,Returning
CUST_1380,1,2024-08-02,New
CUST_1382,1,2024-04-01,New
CUST_1384,1,2024-08-05,New
CUST_1387,1,2024-09-25,New
CUST_1388,1,2024-05-02,New
CUST_1389,1,2024-09-18,New
CUST_1390,1,2024-01-13,New
CUST_1392,1,2023-11-09,New
CUST_1394,1,2024-09-22,New
CUST_1397,1,2024-07-27,New
CUST_1400,1,2024-08-01,New
CUST_1403,1,2024-05-10,New
CUST_1406,1,2023-10-03,New
CUST_1407,2,2023-12-01,Returning
CUST_1409,1,2023-11-17,New
CUST_1414,1,2023-12-23,New
CUST_1416,1,2024-09-29,New
CUST_1418,2,2024-05-05,Returning
CUST_1420,2,2023-10-09,Returning
CUST_1421,1,2024-08-30,New
CUST_1424,4,2023-11-02,Returning
CUST_1425,1,2024-06-24,New
CUST_1430,1,2024-02-07,New
CUST_1432,1,2024-06-16,New
CUST_1438,1,2024-05-06,New
CUST_1440,2,2024-01-08,Returning
CUST_1443,1,2023-11-10,New
CUST_1447,1,2024-07-20,New
CUST_1448,2,2024-01-23,Returning
CUST_1453,1,2024-08-03,New
CUST_1463,1,2024-06-21,New
CUST_1465,1,2024-06-24,New
CUST_1467,1,2023-10-09,New
CUST_1476,1,2024-04-22,New
CUST_1485,1,2024-06-20,New
CUST_1486,1,2024-01-24,New
CUST_1487,1,2024-04-21,New
CUST_1489,1,2024-06-29,New
CUST_1490,1,2023-12-12,New
CUST_1495,1,2023-12-26,New
CUST_1497,1,2023-10-25,New
CUST_1502,1,2024-05-18,New
CUST_1508,1,2024-07-23,New
CUST_1509,1,2024-02-04,New
CUST_1512,2,2024-04-20,Returning
CUST_1513,1,2023-10-12,New
CUST_1515,1,2024-01-27,New
CUST_1516,1,2024-07-12,New
CUST_1522,2,2024-04-25,Returning
CUST_1523,2,2024-04-15,Returning
CUST_1526,1,2024-03-20,New
CUST_1527,1,2023-10-31,New
CUST_1528,2,2024-03-12,Returning
CUST_1529,2,2024-01-20,Returning
CUST_1530,1,2024-02-22,New
CUST_1532,1,2023-11-17,New
CUST_1533,1,2024-04-05,New
CUST_1534,2,2023-10-23,Returning
CUST_1536,2,2023-10-08,Returning
CUST_1537,2,2024-02-28,Returning
CUST_1540,2,2023-11-19,Returning
CUST_1545,2,2023-11-05,Returning
CUST_1549,1,2023-11-06,New
CUST_1551,1,2023-10-29,New
CUST_1555,2,2024-03-13,Returning
CUST_1557,1,2024-08-08,New
CUST_1559,1,2023-11-11,New
CUST_1563,1,2023-11-26,New
CUST_1564,3,2024-06-16,Returning
CUST_1567,1,2024-02-23,New
CUST_1568,1,2024-04-27,New
CUST_1573,2,2023-11-02,Returning
CUST_1574,1,2024-09-10,New
CUST_1577,1,2023-11-07,New
CUST_1579,1,2024-01-14,New
CUST_1580,1,2024-08-29,New
CUST_1581,1,2024-06-18,New
CUST_1583,2,2023-11-27,Returning
CUST_1584,3,2023-11-14,Returning
CUST_1589,1,2023-12-07,New
CUST_1590,2,2023-10-24,Returning
CUST_1594,1,2023-12-10,New
CUST_1595,1,2024-03-05,New
CUST_1596,1,2024-02-16,New
CUST_1599,2,2024-03-25,Returning
CUST_1601,3,2024-04-01,Returning
CUST_1610,2,2024-07-04,Returning
CUST_1613,1,2024-02-06,New
CUST_1614,1,2024-04-18,New
CUST_1615,1,2024-06-14,New
CUST_1616,1,2024-09-07,New
CUST_1617,1,2024-05-29,New
CUST_1620,1,2023-11-13,New
CUST_1621,1,2023-12-02,New
CUST_1624,1,2024-07-30,New
CUST_1627,1,2024-05-22,New
CUST_1634,1,2024-03-30,New
CUST_1637,1,2024-04-11,New
CUST_1642,1,2024-05-20,New
CUST_1648,1,2023-12-13,New
CUST_1656,1,2024-08-22,New
CUST_1657,2,2023-11-23,Returning
CUST_1659,1,2023-11-16,New
CUST_1662,1,2024-01-16,New
CUST_1664,1,2024-04-27,New
CUST_1666,2,2024-03-11,Returning
CUST_1667,2,2024-04-22,Returning
CUST_1668,2,2023-12-04,Returning
CUST_1670,2,2023-11-28,Returning
CUST_1671,1,2024-08-19,New
CUST_1673,1,2024-09-21,New
CUST_1676,1,2024-07-31,New
CUST_1677,2,2024-03-18,Returning
CUST_1678,1,2024-05-19,New
CUST_1682,3,2024-01-31,Returning
CUST_1689,1,2023-11-12,New
CUST_1691,1,2023-12-11,New
CUST_1693,1,2024-02-22,New
CUST_1695,1,2023-11-25,New
CUST_1697,2,2023-12-15,Returning
CUST_1699,1,2023-11-04,New
CUST_1700,1,2023-10-14,New
CUST_1701,1,2024-04-21,New
CUST_1704,2,2024-02-06,Returning
CUST_1705,1,2024-02-22,New
CUST_1707,1,2024-09-12,New
CUST_1708,1,2024-02-03,New
CUST_1709,1,2024-05-24,New
CUST_1710,3,2024-01-27,Returning
CUST_1711,1,2024-07-26,New
CUST_1713,2,2024-02-18,Returning
CUST_1714,2,2023-11-06,Returning
CUST_1715,1,2023-10-21,New
CUST_1719,2,2024-05-09,Returning
CUST_1724,3,2024-02-23,Returning
CUST_1725,1,2024-05-24,New
CUST_1728,1,2024-08-13,New
CUST_1729,1,2024-07-20,New
CUST_1730,1,2024-06-25,New
CUST_1731,1,2024-03-21,New
CUST_1735,1,2024-05-15,New
CUST_1741,1,2024-03-16,New
